in:Octopus slider,out:Heating (kWh),out:LCA (C02e/m2),out:LCC (SEK/m2),img
0,114.556,0.119783,1023.597479,Octopusslider0.png
1,105.942,6.831042,1220.977754,Octopusslider1.png
2,108.505,2.561025,1021.96255,Octopusslider2.png
3,107.002,4.384581,1178.016372,Octopusslider3.png
4,100.299,3.624875,957.972919,Octopusslider4.png
5,90.177,10.334558,1141.878694,Octopusslider5.png
6,93.202,6.065024,946.991619,Octopusslider6.png
7,91.428,7.888296,1100.623962,Octopusslider7.png
8,100.318,2.464895,993.742691,Octopusslider8.png
9,90.192,9.174574,1177.612724,Octopusslider9.png
10,93.216,4.905039,982.716714,Octopusslider10.png
11,91.443,6.728312,1136.357992,Octopusslider11.png
12,114.1,1.405972,1062.489627,Octopusslider12.png
13,105.473,8.117218,1259.753744,Octopusslider13.png
14,108.04,3.847206,1060.774281,Octopusslider14.png
15,106.534,5.670758,1216.801297,Octopusslider15.png
16,99.837,4.911059,996.811456,Octopusslider16.png
17,89.7,11.620726,1180.583201,Octopusslider17.png
18,92.727,7.351194,985.713997,Octopusslider18.png
19,90.951,9.174464,1139.328469,Octopusslider19.png
20,99.855,3.751078,1032.572293,Octopusslider20.png
21,89.714,10.46074,1216.308295,Octopusslider21.png
22,92.743,6.191211,1021.456962,Octopusslider22.png
23,90.965,8.014479,1175.053564,Octopusslider23.png
24,114.083,1.939288,1162.437727,Octopusslider24.png
25,105.455,8.650533,1359.692908,Octopusslider25.png
26,108.021,4.380519,1160.704509,Octopusslider26.png
27,106.515,6.204072,1316.731525,Octopusslider27.png
28,99.818,5.444372,1096.741685,Octopusslider28.png
29,89.679,12.154037,1280.495558,Octopusslider29.png
30,92.708,7.884507,1085.644225,Octopusslider30.png
31,90.932,9.707778,1239.258697,Octopusslider31.png
32,99.837,4.284392,1132.511456,Octopusslider32.png
33,89.694,10.994053,1316.229589,Octopusslider33.png
34,92.723,6.724523,1121.378255,Octopusslider34.png
35,90.947,8.547793,1274.992728,Octopusslider35.png
36,114.11,1.56265,1089.845648,Octopusslider36.png
37,105.482,8.273895,1287.100829,Octopusslider37.png
38,108.048,4.003881,1088.11243,Octopusslider38.png
39,106.542,5.827433,1244.139446,Octopusslider39.png
40,99.845,5.067734,1024.149606,Octopusslider40.png
41,89.708,11.777401,1207.92135,Octopusslider41.png
42,92.735,7.507869,1013.052146,Octopusslider42.png
43,90.961,9.331141,1166.684489,Octopusslider43.png
44,99.864,3.907754,1059.919377,Octopusslider44.png
45,89.723,10.617417,1243.65538,Octopusslider45.png
46,92.752,6.347887,1048.804047,Octopusslider46.png
47,90.976,8.171157,1202.418519,Octopusslider47.png
48,111.735,4.794322,1292.930829,Octopusslider48.png
49,103.121,11.505581,1490.311105,Octopusslider49.png
50,105.685,7.235565,1291.304835,Octopusslider50.png
51,104.181,9.05912,1447.349722,Octopusslider51.png
52,97.148,8.299069,1224.357605,Octopusslider52.png
53,86.984,15.008708,1407.888095,Octopusslider53.png
54,90.023,10.739189,1213.126116,Octopusslider54.png
55,88.241,12.562453,1366.686976,Octopusslider55.png
56,97.154,7.139075,1260.011218,Octopusslider56.png
57,86.984,13.848708,1443.488095,Octopusslider57.png
58,90.023,9.579189,1248.726116,Octopusslider58.png
59,88.241,11.402453,1402.286976,Octopusslider59.png
60,111.285,6.080518,1331.87659,Octopusslider60.png
61,102.658,12.791764,1529.140706,Octopusslider61.png
62,105.227,8.521753,1330.179114,Octopusslider62.png
63,103.718,10.345302,1486.179323,Octopusslider63.png
64,96.689,9.585256,1263.222948,Octopusslider64.png
65,86.509,16.294878,1446.610473,Octopusslider65.png
66,89.553,12.025364,1251.89317,Octopusslider66.png
67,87.768,13.848625,1405.427224,Octopusslider67.png
68,96.693,8.42526,1298.85869,Octopusslider68.png
69,86.509,15.134878,1482.210473,Octopusslider69.png
70,89.555,10.865366,1287.51104,Octopusslider70.png
71,87.768,12.688625,1441.027224,Octopusslider71.png
72,111.264,6.613829,1431.788947,Octopusslider72.png
73,102.637,13.325075,1629.053064,Octopusslider73.png
74,105.206,9.055064,1430.091472,Octopusslider74.png
75,103.7,10.878617,1586.118487,Octopusslider75.png
76,96.669,10.118568,1363.144241,Octopusslider76.png
77,86.488,16.828189,1546.52283,Octopusslider77.png
78,89.534,12.558677,1351.823398,Octopusslider78.png
79,87.748,14.381937,1505.348517,Octopusslider79.png
80,96.675,8.958574,1398.797854,Octopusslider80.png
81,86.488,15.668189,1582.12283,Octopusslider81.png
82,89.534,11.398677,1387.423398,Octopusslider82.png
83,87.748,13.221937,1540.948517,Octopusslider83.png
84,111.289,6.237189,1359.178998,Octopusslider84.png
85,102.662,12.948434,1556.443114,Octopusslider85.png
86,105.231,8.678424,1357.481522,Octopusslider86.png
87,103.725,10.501976,1513.508537,Octopusslider87.png
88,96.693,9.741927,1290.525356,Octopusslider88.png
89,86.513,16.451549,1473.912881,Octopusslider89.png
90,89.559,12.182037,1279.213448,Octopusslider90.png
91,87.772,14.005296,1432.729632,Octopusslider91.png
92,96.7,8.581934,1326.187904,Octopusslider92.png
93,86.513,15.291549,1509.512881,Octopusslider93.png
94,89.559,11.022037,1314.813448,Octopusslider94.png
95,87.772,12.845296,1468.329632,Octopusslider95.png
96,110.075,4.792586,1404.108028,Octopusslider96.png
97,101.434,11.503817,1601.247049,Octopusslider97.png
98,104.007,7.233811,1402.321199,Octopusslider98.png
99,102.498,9.05736,1558.321408,Octopusslider99.png
100,95.303,8.29714,1333.881766,Octopusslider100.png
101,85.096,15.006734,1517.028036,Octopusslider101.png
102,88.15,10.73723,1322.400086,Octopusslider102.png
103,86.36,12.560486,1475.889464,Octopusslider103.png
104,95.306,7.137143,1369.508572,Octopusslider104.png
105,85.096,13.846734,1552.628036,Octopusslider105.png
106,88.15,9.57723,1358.000086,Octopusslider106.png
107,86.36,11.400486,1511.489464,Octopusslider107.png
108,109.623,6.07878,1443.035918,Octopusslider108.png
109,100.967,12.789995,1640.04091,Octopusslider109.png
110,103.546,8.519995,1441.168671,Octopusslider110.png
111,102.034,10.343542,1597.142074,Octopusslider111.png
112,94.841,9.583323,1372.720303,Octopusslider112.png
113,84.619,16.292902,1555.732542,Octopusslider113.png
114,87.677,12.023402,1361.140334,Octopusslider114.png
115,85.885,13.846656,1514.611841,Octopusslider115.png
116,94.845,8.423328,1408.356044,Octopusslider116.png
117,84.619,15.132902,1591.332542,Octopusslider117.png
118,87.677,10.863402,1396.740334,Octopusslider118.png
119,85.882,12.686653,1550.185035,Octopusslider119.png
120,109.602,6.612091,1542.948276,Octopusslider120.png
121,100.949,13.32331,1739.980073,Octopusslider121.png
122,103.525,9.053307,1541.081029,Octopusslider122.png
123,102.013,10.876853,1697.054432,Octopusslider123.png
124,94.82,10.116635,1472.63266,Octopusslider124.png
125,84.598,16.826213,1655.6449,Octopusslider125.png
126,87.656,12.556714,1461.052692,Octopusslider126.png
127,85.864,14.379967,1614.524199,Octopusslider127.png
128,94.824,8.956639,1508.268402,Octopusslider128.png
129,84.598,15.666213,1691.2449,Octopusslider129.png
130,87.656,11.396714,1496.652692,Octopusslider130.png
131,85.864,13.219967,1650.124199,Octopusslider131.png
132,109.627,6.235451,1470.338326,Octopusslider132.png
133,100.974,12.946669,1667.370124,Octopusslider133.png
134,103.55,8.676666,1468.471079,Octopusslider134.png
135,102.038,10.500212,1624.444482,Octopusslider135.png
136,94.845,9.739994,1400.022711,Octopusslider136.png
137,84.623,16.449572,1583.03495,Octopusslider137.png
138,87.681,12.180073,1388.442742,Octopusslider138.png
139,85.889,14.003327,1541.914249,Octopusslider139.png
140,94.849,8.579998,1435.658452,Octopusslider140.png
141,84.623,15.289572,1618.63495,Octopusslider141.png
142,87.681,11.020073,1424.042742,Octopusslider142.png
143,85.889,12.843327,1577.514249,Octopusslider143.png
144,111.735,1.179838,1183.40284,Octopusslider144.png
