time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,0.0,0.0,-1.67,1.17,0.0
20050101:0110,0.0,0.0,0.0,0.0,0.0,-1.53,1.17,0.0
20050101:0210,0.0,0.0,0.0,0.0,0.0,-1.27,1.17,0.0
20050101:0310,0.0,0.0,0.0,0.0,0.0,-0.75,1.24,0.0
20050101:0410,0.0,0.0,0.0,0.0,0.0,-0.2,1.24,0.0
20050101:0510,0.0,0.0,0.0,0.0,0.0,-0.07,1.24,0.0
20050101:0610,0.0,0.0,0.0,0.0,0.0,-0.2,1.31,0.0
20050101:0710,101.7,94.69,31.81,1.2,6.38,0.05,1.31,0.0
20050101:0810,64.42,16.89,68.69,2.46,12.95,0.75,1.38,0.0
20050101:0910,82.71,8.87,96.83,3.46,17.61,1.36,1.45,0.0
20050101:1010,23.64,0.0,39.23,1.35,19.93,1.86,1.66,0.0
20050101:1110,20.82,0.0,35.82,1.23,19.67,2.07,1.86,0.0
20050101:1210,10.51,0.0,22.5,0.85,16.85,2.19,2.14,0.0
20050101:1310,10.53,0.0,22.5,0.85,11.77,1.96,2.14,0.0
20050101:1410,4.15,0.0,13.19,0.5,4.86,1.48,1.52,0.0
20050101:1510,0.0,0.0,0.0,0.0,0.0,1.03,1.38,0.0
20050101:1610,0.0,0.0,0.0,0.0,0.0,0.62,1.38,0.0
20050101:1710,0.0,0.0,0.0,0.0,0.0,0.51,1.38,0.0
20050101:1810,0.0,0.0,0.0,0.0,0.0,0.51,1.38,0.0
20050101:1910,0.0,0.0,0.0,0.0,0.0,0.36,1.03,0.0
20050101:2010,0.0,0.0,0.0,0.0,0.0,0.25,0.9,0.0
20050101:2110,0.0,0.0,0.0,0.0,0.0,0.04,0.97,0.0
20050101:2210,0.0,0.0,0.0,0.0,0.0,-0.02,1.1,0.0
20050101:2310,0.0,0.0,0.0,0.0,0.0,-0.44,1.31,0.0
20050102:0010,0.0,0.0,0.0,0.0,0.0,-0.16,1.38,0.0
20050102:0110,0.0,0.0,0.0,0.0,0.0,0.14,1.52,0.0
20050102:0210,0.0,0.0,0.0,0.0,0.0,0.3,1.52,0.0
