x,y,value
3.428226,5.509334,975.766759
3.428226,15.527533,975.076707
3.428226,25.545732,973.629671
3.428226,35.563931,972.669029
3.428226,45.582129,971.64491
3.428226,55.600328,970.555016
3.428226,65.618526,970.555016
3.428226,75.636726,969.345472
3.428226,85.654926,968.822801
3.428226,95.673122,968.822801
3.428226,105.691322,968.253175
3.428226,115.709522,969.044307
3.428226,125.727718,969.669529
3.428226,135.745918,970.759423
3.428226,145.764122,973.147542
3.428226,155.782318,974.407219
3.428226,165.800514,974.407219
3.428226,175.818718,975.766759
3.428226,185.836914,975.766759
3.428226,195.85511,975.766759
3.428226,205.873314,975.766759
3.428226,215.89151,975.766759
3.428226,225.909706,975.766759
3.428226,235.92791,975.766759
3.428226,245.946106,975.766759
3.428226,255.96431,975.766759
3.428226,265.982513,975.766759
3.428226,276.000702,975.766759
3.428226,286.018906,975.766759
3.428226,296.037109,975.766759
3.428226,306.055298,975.766759
3.428226,316.073502,975.766759
3.428226,326.091705,975.766759
3.428226,336.109894,975.766759
3.428226,346.128098,974.975627
3.428226,356.146301,974.014984
3.428226,366.16449,972.990865
3.428226,376.182693,972.692104
3.428226,386.200897,971.48256
3.428226,396.219086,972.443202
3.428226,406.237289,972.288746
3.428226,416.255493,973.37864
3.428226,426.273682,974.588183
3.428226,436.291885,975.766759
3.428226,446.310089,975.766759
3.428226,456.328278,975.766759
3.428226,466.346481,975.766759
3.428226,476.364685,975.766759
3.428226,486.382874,975.766759
3.428226,496.401077,975.766759
3.428226,506.419281,975.766759
3.428226,516.437485,975.076707
3.428226,526.455688,975.076707
3.428226,536.473877,975.766759
3.428226,546.492065,974.806117
3.428226,556.510254,973.359081
3.428226,566.528473,973.684277
3.428226,576.546692,974.475409
3.428226,586.56488,973.45129
3.428226,596.583069,971.800597
3.428226,606.601257,972.033583
3.428226,616.619446,972.033583
3.428226,626.637665,969.91957
3.428226,636.655884,969.91957
3.428226,646.674072,972.033583
3.428226,656.692261,970.318
3.428226,666.710449,968.084337
3.428226,676.728638,969.174231
3.428226,686.746857,968.084337
3.428226,696.765076,962.020854
3.428226,706.783264,956.623213
3.428226,716.801453,951.10413
3.428226,726.819641,944.925819
3.428226,736.83783,947.4925
3.428226,746.856049,943.149643
3.428226,756.874268,946.359191
3.428226,766.892456,952.253217
3.428226,776.910645,957.102956
3.428226,786.928833,961.724016
3.428226,796.947021,968.675984
3.428226,806.96524,969.59644
3.428226,816.983459,965.629794
3.428226,827.001648,963.854246
3.428226,837.019836,967.452675
3.428226,847.038025,965.417891
3.428226,857.056244,962.739366
3.428226,867.074463,964.638961
3.428226,877.092651,960.236071
3.428226,887.11084,958.095911
3.428226,897.129028,956.443007
3.428226,907.147217,956.918772
3.428226,917.165436,956.597048
3.428226,927.183655,956.766558
3.428226,937.201843,956.588134
3.428226,947.220032,959.408137
3.428226,957.23822,966.171912
3.428226,967.256409,966.807357
3.428226,977.274628,964.084476
3.428226,987.292847,964.084476
3.428226,997.311035,964.084476
3.428226,1007.329224,964.104935
3.428226,1017.347412,964.104935
3.428226,1027.365631,962.590692
3.428226,1037.38385,961.551291
3.428226,1047.402039,956.288879
3.428226,1057.420227,954.974133
3.428226,1067.438416,956.396158
3.428226,1077.456604,957.561974
3.428226,1087.474792,969.147875
3.428226,1097.492981,968.457824
3.428226,1107.511169,967.276419
3.428226,1117.529358,958.854616
3.428226,1127.547607,955.555872
3.428226,1137.565857,954.823736
3.428226,1147.584045,956.752442
3.428226,1157.602234,952.312177
3.428226,1167.620422,950.60627
3.428226,1177.638611,955.991152
3.428226,1187.656799,961.230857
3.428226,1197.674988,967.852593
3.428226,1207.693176,965.28351
3.428226,1217.711365,965.398759
3.428226,1227.729553,966.171912
3.428226,1237.747742,964.80857
3.428226,1247.765991,964.80857
3.428226,1257.784241,963.449031
3.428226,1267.802429,965.17437
3.428226,1277.820618,965.54768
3.428226,1287.838806,966.757224
3.428226,1297.856995,961.680511
3.428226,1307.875183,958.740824
3.428226,1317.893372,957.155487
3.428226,1327.91156,964.432016
3.428226,1337.929749,966.070368
3.428226,1347.947937,969.823986
3.428226,1357.966187,969.823986
3.428226,1367.984436,970.28819
3.428226,1378.002625,970.253383
3.428226,1388.020813,968.487571
3.428226,1398.039001,967.831668
3.428226,1408.05719,967.960919
3.428226,1418.075378,968.971695
3.428226,1428.093567,967.676985
3.428226,1438.111755,966.471138
3.428226,1448.129944,966.652101
3.428226,1458.148132,966.532451
3.428226,1468.166321,967.741995
3.428226,1478.18457,969.293881
3.428226,1488.20282,969.949785
3.428226,1498.221008,968.690107
3.428226,1508.239197,969.65075
3.428226,1518.257385,968.554185
3.428226,1528.275574,968.283595
3.428226,1538.293762,967.010438
3.428226,1548.311951,965.310101
3.428226,1558.330139,961.330428
3.428226,1568.348328,955.58979
3.428226,1578.366516,951.065824
3.428226,1588.384705,940.594596
3.428226,1598.402954,917.665528
3.428226,1608.421204,909.559222
3.428226,1618.439392,884.326901
3.428226,1628.457581,897.362554
3.428226,1638.475769,868.952037
3.428226,1648.493958,856.656879
3.428226,1658.512146,833.035685
3.428226,1668.530334,843.076264
3.428226,1678.548523,842.24625
3.428226,1688.566711,851.230582
3.428226,1698.5849,876.755291
3.428226,1708.603149,908.259923
3.428226,1718.621399,904.476408
3.428226,1728.639587,911.947269
3.428226,1738.657776,915.213419
3.428226,1748.675964,914.395771
3.428226,1758.694153,933.804234
3.428226,1768.712341,952.800179
3.428226,1778.73053,946.742442
3.428226,1788.748718,956.462889
3.428226,1798.766907,958.452701
3.428226,1808.785095,954.73574
3.428226,1818.803284,954.173004
3.428226,1828.821533,955.209569
3.428226,1838.839783,967.886127
3.428226,1848.857971,966.676584
3.428226,1858.87616,967.855159
3.428226,1868.894348,967.766477
3.428226,1878.912537,970.385694
3.428226,1888.930725,969.126017
13.482474,5.509334,975.110855
13.482474,15.527533,973.785358
13.482474,25.545732,972.994226
13.482474,35.563931,972.033583
13.482474,45.582129,971.009464
13.482474,55.600328,969.91957
13.482474,65.618526,968.710027
13.482474,75.636726,967.531451
13.482474,85.654926,968.166897
13.482474,95.673122,966.90722
13.482474,105.691322,967.563124
13.482474,115.709522,967.684768
13.482474,125.727718,969.669529
13.482474,135.745918,970.505763
13.482474,145.764122,972.944016
13.482474,155.782318,972.944016
13.482474,165.800514,974.303555
13.482474,175.818718,974.303555
13.482474,185.836914,975.766759
13.482474,195.85511,975.766759
13.482474,205.873314,975.766759
13.482474,215.89151,975.766759
13.482474,225.909706,975.766759
13.482474,235.92791,975.766759
13.482474,245.946106,975.766759
13.482474,255.96431,975.766759
13.482474,265.982513,975.766759
13.482474,276.000702,975.766759
13.482474,286.018906,975.766759
13.482474,296.037109,975.766759
13.482474,306.055298,975.766759
13.482474,316.073502,975.766759
13.482474,326.091705,975.766759
13.482474,336.109894,975.076707
13.482474,346.128098,974.285575
13.482474,356.146301,973.324933
13.482474,366.16449,972.300814
13.482474,376.182693,971.900971
13.482474,386.200897,971.48256
13.482474,396.219086,971.264627
13.482474,406.237289,971.029069
13.482474,416.255493,972.118963
13.482474,426.273682,973.328506
13.482474,436.291885,974.507082
13.482474,446.310089,975.766759
13.482474,456.328278,975.766759
13.482474,466.346481,975.766759
13.482474,476.364685,975.766759
13.482474,486.382874,975.766759
13.482474,496.401077,975.766759
13.482474,506.419281,975.766759
13.482474,516.437485,974.285575
13.482474,526.455688,974.285575
13.482474,536.473877,975.076707
13.482474,546.492065,974.170671
13.482474,556.510254,972.689487
13.482474,566.528473,972.033583
13.482474,576.546692,973.058587
13.482474,586.56488,972.034468
13.482474,596.583069,970.383775
13.482474,606.601257,971.407894
13.482474,616.619446,972.368536
13.482474,626.637665,969.293881
13.482474,636.655884,969.293881
13.482474,646.674072,971.407894
13.482474,656.692261,969.108456
13.482474,666.710449,968.084337
13.482474,676.728638,968.084337
13.482474,686.746857,958.995768
13.482474,696.765076,953.598128
13.482474,706.783264,946.900469
13.482474,716.801453,938.999835
13.482474,726.819641,923.615718
13.482474,736.83783,905.944818
13.482474,746.856049,889.09475
13.482474,756.874268,901.958925
13.482474,766.892456,916.846694
13.482474,776.910645,956.219918
13.482474,786.928833,959.860514
13.482474,796.947021,966.724151
13.482474,806.96524,968.438322
13.482474,816.983459,964.994349
13.482474,827.001648,963.177232
13.482474,837.019836,961.722588
13.482474,847.038025,957.515459
13.482474,857.056244,948.460032
13.482474,867.074463,949.429294
13.482474,877.092651,937.632425
13.482474,887.11084,925.579614
13.482474,897.129028,923.213946
13.482474,907.147217,938.826063
13.482474,917.165436,955.971359
13.482474,927.183655,953.469451
13.482474,937.201843,949.961569
13.482474,947.220032,943.043424
13.482474,957.23822,945.548554
13.482474,967.256409,937.066713
13.482474,977.274628,947.487052
13.482474,987.292847,961.244737
13.482474,997.311035,957.375352
13.482474,1007.329224,954.182005
13.482474,1017.347412,945.237902
13.482474,1027.365631,940.238167
13.482474,1037.38385,935.831946
13.482474,1047.402039,938.827373
13.482474,1057.420227,947.818966
13.482474,1067.438416,948.797566
13.482474,1077.456604,956.00927
13.482474,1087.474792,955.393926
13.482474,1097.492981,964.532616
13.482474,1107.511169,963.30114
13.482474,1117.529358,949.981779
13.482474,1127.547607,934.547157
13.482474,1137.565857,933.309322
13.482474,1147.584045,949.817532
13.482474,1157.602234,930.479345
13.482474,1167.620422,925.174665
13.482474,1177.638611,936.450936
13.482474,1187.656799,953.154923
13.482474,1197.674988,957.623981
13.482474,1207.693176,962.673803
13.482474,1217.711365,964.738922
13.482474,1227.729553,957.881188
13.482474,1237.747742,957.759745
13.482474,1247.765991,961.919289
13.482474,1257.784241,958.449296
13.482474,1267.802429,964.472386
13.482474,1277.820618,961.364882
13.482474,1287.838806,957.919404
13.482474,1297.856995,953.750337
13.482474,1307.875183,944.328446
13.482474,1317.893372,920.000999
13.482474,1327.91156,942.248282
13.482474,1337.929749,955.230278
13.482474,1347.947937,952.442522
13.482474,1357.966187,959.305167
13.482474,1367.984436,957.139153
13.482474,1378.002625,963.70312
13.482474,1388.020813,966.318139
13.482474,1398.039001,966.318139
13.482474,1408.05719,965.17437
13.482474,1418.075378,964.367298
13.482474,1428.093567,964.367298
13.482474,1438.111755,965.726837
13.482474,1448.129944,966.078003
13.482474,1458.148132,966.078003
13.482474,1468.166321,969.293881
13.482474,1478.18457,966.905761
13.482474,1488.20282,966.82466
13.482474,1498.221008,968.034204
13.482474,1508.239197,968.690107
13.482474,1518.257385,969.700883
13.482474,1528.275574,966.383999
13.482474,1538.293762,967.074051
13.482474,1548.311951,962.332603
13.482474,1558.330139,964.668386
13.482474,1568.348328,960.35761
13.482474,1578.366516,948.544858
13.482474,1588.384705,920.778312
13.482474,1598.402954,851.351892
13.482474,1608.421204,846.173014
13.482474,1618.439392,886.202226
13.482474,1628.457581,859.066128
13.482474,1638.475769,787.993266
13.482474,1648.493958,761.453758
13.482474,1658.512146,763.154096
13.482474,1668.530334,755.670875
13.482474,1678.548523,761.841934
13.482474,1688.566711,768.090117
13.482474,1698.5849,807.352517
13.482474,1708.603149,844.029056
13.482474,1718.621399,880.617409
13.482474,1728.639587,899.031954
13.482474,1738.657776,883.682989
13.482474,1748.675964,913.450592
13.482474,1758.694153,915.310623
13.482474,1768.712341,952.602037
13.482474,1778.73053,943.897296
13.482474,1788.748718,939.603467
13.482474,1798.766907,933.98264
13.482474,1808.785095,944.297111
13.482474,1818.803284,948.729844
13.482474,1828.821533,954.225964
13.482474,1838.839783,956.149788
13.482474,1848.857971,961.172486
13.482474,1858.87616,969.214699
13.482474,1868.894348,969.126017
13.482474,1878.912537,968.945053
13.482474,1888.930725,970.589221
23.536721,5.509334,974.475409
23.536721,15.527533,973.159668
23.536721,25.545732,973.159668
23.536721,35.563931,972.368536
23.536721,45.582129,970.383775
23.536721,55.600328,969.293881
23.536721,65.618526,953.598128
23.536721,75.636726,937.95653
23.536721,85.654926,905.822088
23.536721,95.673122,893.935753
23.536721,105.691322,893.107995
23.536721,115.709522,895.527849
23.536721,125.727718,916.285947
23.536721,135.745918,959.627801
23.536721,145.764122,971.414274
23.536721,155.782318,972.773813
23.536721,165.800514,972.773813
23.536721,175.818718,974.237017
23.536721,185.836914,974.237017
23.536721,195.85511,975.766759
23.536721,205.873314,975.766759
23.536721,215.89151,975.766759
23.536721,225.909706,975.766759
23.536721,235.92791,975.766759
23.536721,245.946106,975.766759
23.536721,255.96431,975.766759
23.536721,265.982513,975.766759
23.536721,276.000702,975.766759
23.536721,286.018906,975.766759
23.536721,296.037109,975.766759
23.536721,306.055298,975.766759
23.536721,316.073502,975.766759
23.536721,326.091705,975.110855
23.536721,336.109894,974.420804
23.536721,346.128098,971.64491
23.536721,356.146301,969.345472
23.536721,366.16449,966.90722
23.536721,376.182693,967.563124
23.536721,386.200897,968.253175
23.536721,396.219086,968.64541
23.536721,406.237289,969.669529
23.536721,416.255493,970.759423
23.536721,426.273682,970.759423
23.536721,436.291885,973.147542
23.536721,446.310089,974.407219
23.536721,456.328278,975.766759
