,x,y,z
44847,319853.0,6398062.0,59.0941
44848,319861.0,6398070.0,59.042
44850,319869.0,6398078.0,58.99
44851,319855.0,6398073.0,58.7681
44866,319853.0,6398078.0,58.7119
44871,319865.0,6398086.0,58.9833
44872,319861.0,6398094.0,58.9766
44873,319857.0,6398102.0,58.9699
44875,319853.0,6398110.0,58.9632
44884,319853.0,6398118.0,58.266
44885,319853.0,6398126.0,57.5688
44886,319853.0,6398134.0,56.8715
44888,319853.0,6398142.0,56.1743
44965,319857.0,6398150.0,56.1334
44966,319861.0,6398158.0,56.0926
44967,319865.0,6398166.0,56.0517
44968,319853.0,6398170.0,56.2336
44969,319869.0,6398174.0,56.0108
44970,319857.0,6398178.0,56.1927
44974,319851.0,6398184.0,56.2082
44975,319863.0,6398180.0,56.0263
44976,319857.0,6398186.0,56.0417
44977,319851.0,6398192.0,56.0571
46243,319851.5,6397853.5,48.6153
46249,319855.5,6397851.5,48.5139
46250,319857.0,6397854.0,48.3871
46251,319853.0,6397856.0,48.4885
46255,319851.5,6397859.0,48.5072
46256,319855.5,6397857.0,48.4058
46257,319854.0,6397860.0,48.4246
46258,319852.5,6397863.0,48.4433
46259,319850.0,6397862.0,48.5259
46260,319851.0,6397866.0,48.4621
46266,319851.5,6397867.0,48.6246
46267,319852.0,6397868.0,48.7871
46268,319852.5,6397869.0,48.9497
46269,319849.5,6397867.0,48.8698
46270,319853.0,6397870.0,49.1122
46271,319850.0,6397868.0,49.0323
46276,319851.0,6397874.0,49.0505
46456,319850.0,6397918.0,56.241
46458,319853.0,6397918.0,57.1318
46459,319850.0,6397919.0,56.3328
46462,319851.0,6397920.0,56.3868
46480,319850.5,6397916.0,56.0762
46502,319850.0,6397900.0,53.7178
46503,319851.0,6397906.0,54.8558
46504,319852.0,6397912.0,55.9938
46505,319849.5,6397910.0,54.9382
46554,319850.0,6397935.0,56.2972
46555,319851.0,6397936.0,57.5751
46556,319852.0,6397937.0,58.853
46557,319849.5,6397938.0,58.025
46558,319853.0,6397938.0,60.1309
46559,319850.5,6397939.0,59.3029
46563,319850.5,6397942.0,59.2931
46564,319853.0,6397941.0,60.1212
46565,319853.0,6397944.0,60.1114
46566,319853.0,6397947.0,60.1017
46567,319850.5,6397945.0,59.2834
46568,319853.0,6397950.0,60.0919
46569,319850.5,6397948.0,59.2736
46586,319851.0,6397957.0,60.216
46610,319851.0,6397993.0,60.4418
46612,319853.0,6397998.0,60.393
46613,319850.0,6397995.0,60.3726
46739,319853.0,6398014.0,59.4962
46740,319853.0,6398006.0,59.9446
46741,319857.0,6398002.0,60.0855
46742,319861.0,6398006.0,59.778
46743,319865.0,6398010.0,59.4706
46744,319857.0,6398010.0,59.6371
46745,319869.0,6398014.0,59.1631
46746,319861.0,6398014.0,59.3296
46748,319853.0,6398022.0,59.3384
46749,319861.0,6398022.0,59.1718
46750,319853.0,6398030.0,59.1806
46763,319857.0,6398042.0,59.2622
46764,319861.0,6398054.0,59.3438
46765,319865.0,6398034.0,59.2534
46766,319873.0,6398026.0,59.2447
46767,319877.0,6398038.0,59.3263
46768,319881.0,6398050.0,59.4079
46769,319869.0,6398046.0,59.335
46770,319885.0,6398062.0,59.4894
46771,319873.0,6398058.0,59.4166
46772,319857.0,6398058.0,59.2189
46773,319869.0,6398062.0,59.2918
46774,319881.0,6398066.0,59.3646
46775,319877.0,6398070.0,59.2397
46776,319873.0,6398074.0,59.1149
46777,319865.0,6398066.0,59.1669
46815,319852.0,6398210.0,54.5098
46817,319856.5,6398212.0,54.8876
46818,319852.5,6398212.0,54.4984
46819,319861.0,6398214.0,55.2653
46820,319857.0,6398214.0,54.8762
46821,319853.0,6398214.0,54.4871
46827,319853.0,6398206.0,55.6689
46828,319857.0,6398210.0,55.4671
46829,319852.5,6398208.0,55.0894
48264,319857.0,6397866.0,50.6036
48265,319858.0,6397866.0,51.1822
48266,319858.0,6397867.0,51.2789
48267,319859.0,6397866.0,51.7608
48268,319859.0,6397867.0,51.8575
48269,319859.0,6397868.0,51.9543
48270,319860.0,6397866.0,52.3394
48271,319860.0,6397867.0,52.4362
48272,319861.0,6397866.0,52.918
48273,319861.0,6397867.0,53.0148
